framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,32,1,1,balanced,0.08283199866612752
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,32,1,1,balanced,0.10019200046857198
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,32,1,1,balanced,0.14138666788736978
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,32,1,1,balanced,0.2226346731185913
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,32,1,1,balanced,0.2236479918162028
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,32,1,1,balanced,0.22403732935587564
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,32,1,1,balanced,0.22656534115473428
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,32,1,1,balanced,0.22642666101455688
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,32,1,1,balanced,0.2654400070508321
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,32,1,1,balanced,0.2664320071538289
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,32,1,1,balanced,0.2672320008277893
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,32,1,1,balanced,0.31191466252009076
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,32,1,1,balanced,0.31082133452097577
